"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channel","ClipLength","BuoyLatitude","BuoyLongitude","TriggerName","BuoyHeading","DIFARBearing","TrueBearing","DifarFrequency","SignalAmplitude","DifarGain","Species","Latitude","Longitude","MatchedAngles","TrackedGroup"
1,8/18/2014 3:00:46,200,8/17/2014 20:00:46,10/5/2015 18:50:43,1,9.999500274,47.048100000,-127.899800000,,,317.000000000,,425.781250000,89.655715194,0.011715621,"Vessel              ",,,,"No group                                                                        "
2,8/18/2014 3:00:56,300,8/17/2014 20:00:56,10/5/2015 18:50:47,1,9.999500274,47.048100000,-127.899800000,,,314.000000000,,425.781250000,89.778556290,0.007887736,"Vessel              ",,,,"No group                                                                        "
3,8/18/2014 3:01:06,300,8/17/2014 20:01:06,10/5/2015 18:50:56,1,9.999500274,47.048100000,-127.899800000,,,315.000000000,,425.781250000,89.557732491,0.012262253,"Vessel              ",,,,"No group                                                                        "
4,8/18/2014 3:01:16,300,8/17/2014 20:01:16,10/5/2015 18:51:18,1,9.999500274,47.048100000,-127.899800000,,,314.000000000,,425.781250000,90.341608068,0.013378540,"Vessel              ",,,,"No group                                                                        "
5,8/18/2014 3:01:26,300,8/17/2014 20:01:26,10/5/2015 18:51:21,1,9.999500274,47.048100000,-127.899800000,,,313.000000000,,425.781250000,90.224457661,0.012130071,"Vessel              ",,,,"No group                                                                        "
6,8/18/2014 3:01:36,300,8/17/2014 20:01:36,10/5/2015 18:51:25,1,9.999500274,47.048100000,-127.899800000,,,311.000000000,,421.875000000,89.374948035,0.005923599,"Vessel              ",,,,"No group                                                                        "
7,8/18/2014 3:10:11,100,8/17/2014 20:10:11,10/5/2015 18:52:54,0,9.999500274,47.061900000,-127.916700000,,,302.000000000,,421.875000000,90.703972232,0.013126404,"Vessel              ",,,,"No group                                                                        "
8,8/18/2014 3:10:21,200,8/17/2014 20:10:21,10/5/2015 18:53:03,0,9.999500274,47.061900000,-127.916700000,,,305.000000000,,421.875000000,90.444715991,0.008834812,"Vessel              ",,,,"No group                                                                        "
9,8/18/2014 3:10:31,200,8/17/2014 20:10:31,10/5/2015 18:53:12,0,9.999500274,47.061900000,-127.916700000,,,309.000000000,,421.875000000,90.462207823,0.011389297,"Vessel              ",,,,"No group                                                                        "
10,8/18/2014 3:10:41,200,8/17/2014 20:10:41,10/5/2015 18:53:22,0,9.999500274,47.061900000,-127.916700000,,,306.000000000,,421.875000000,90.642529911,0.015021059,"Vessel              ",,,,"No group                                                                        "
11,8/18/2014 3:10:51,200,8/17/2014 20:10:51,10/5/2015 18:53:32,0,9.999500274,47.061900000,-127.916700000,,,305.000000000,,421.875000000,90.071005915,0.007127793,"Vessel              ",,,,"No group                                                                        "
12,8/18/2014 3:11:01,200,8/17/2014 20:11:01,10/5/2015 18:53:42,0,9.999500274,47.061900000,-127.916700000,,,308.000000000,,421.875000000,89.390943340,0.008286017,"Vessel              ",,,,"No group                                                                        "
13,8/18/2014 3:11:11,200,8/17/2014 20:11:11,10/5/2015 18:53:53,0,9.999500274,47.061900000,-127.916700000,,,309.000000000,,421.875000000,88.660839477,0.004176781,"Vessel              ",,,,"No group                                                                        "
