"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channel","ClipLength","BuoyLatitude","BuoyLongitude","TriggerName","BuoyHeading","DIFARBearing","TrueBearing","DifarFrequency","SignalAmplitude","DifarGain","Species","Latitude","Longitude","MatchedAngles","TrackedGroup"
1,9/28/2014 2:53:46,100,9/27/2014 19:53:46,11/19/2015 19:18:32,0,9.999500274,-35.469133333,-122.058266666,,,335.000000000,,417.968750000,83.921511338,0.002557339,"Vessel              ",,,,"No group                                                                        "
2,9/28/2014 2:53:47,600,9/27/2014 19:53:47,11/19/2015 19:18:45,0,9.999500274,-35.469133333,-122.058266666,,,336.000000000,,417.968750000,83.967714707,0.002754819,"Vessel              ",,,,"No group                                                                        "
3,9/28/2014 2:53:50,800,9/27/2014 19:53:50,11/19/2015 19:19:03,0,9.999500274,38.358550000,-127.984150000,,,334.000000000,,417.968750000,84.550431012,0.003335697,"Vessel              ",,,,"No group                                                                        "
4,9/28/2014 2:58:11,700,9/27/2014 19:58:11,11/19/2015 19:20:25,1,9.999500274,38.377550000,-127.989483333,,,335.000000000,,414.062500000,90.159245518,0.044015174,"Vessel              ",,,,"No group                                                                        "
5,9/28/2014 2:58:19,400,9/27/2014 19:58:19,11/19/2015 19:20:33,1,9.999500274,38.377550000,-127.989483333,,,335.000000000,,417.968750000,88.668136358,0.028306852,"Vessel              ",,,,"No group                                                                        "
6,9/28/2014 2:58:28,400,9/27/2014 19:58:28,11/19/2015 19:20:41,1,9.999500274,38.377550000,-127.989483333,,,332.000000000,,414.062500000,88.571438988,0.032004028,"Vessel              ",,,,"No group                                                                        "
7,9/28/2014 2:58:35,900,9/27/2014 19:58:35,11/19/2015 19:20:49,1,9.999500274,38.377550000,-127.989483333,,,335.000000000,,414.062500000,87.778889320,0.027806621,"Vessel              ",,,,"No group                                                                        "
8,9/28/2014 2:58:45,0,9/27/2014 19:58:45,11/19/2015 19:20:59,1,9.999500274,38.377550000,-127.989483333,,,334.000000000,,414.062500000,87.594028174,0.024726190,"Vessel              ",,,,"No group                                                                        "
9,9/28/2014 2:58:55,900,9/27/2014 19:58:55,11/19/2015 19:21:21,1,9.999500274,38.377550000,-127.989483333,,,336.000000000,,414.062500000,88.371818388,0.028368729,"Vessel              ",,,,"No group                                                                        "
10,9/28/2014 2:59:12,500,9/27/2014 19:59:12,11/19/2015 19:21:54,1,9.999500274,38.377550000,-127.989483333,,,337.000000000,,414.062500000,89.443465118,0.021363952,"Vessel              ",,,,"No group                                                                        "
11,9/28/2014 3:32:32,552,9/27/2014 20:32:32,11/19/2015 19:32:43,0,5.199979305,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,67.000000000,80.500000000,43.945312500,86.653792451,0.000155068,"BmB                 ",,,,"42                                                                              "
12,9/28/2014 3:32:33,493,9/27/2014 20:32:33,11/19/2015 19:32:53,1,6.216000080,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,69.000000000,83.500000000,43.945312500,84.117391459,0.000056342,"BmB                 ",38.419576396,-127.518822789,"11                                                                              ","42                                                                              "
13,9/28/2014 3:33:04,534,9/27/2014 20:33:04,11/19/2015 19:33:39,0,1.151979207,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,106.000000000,119.500000000,20.507812500,70.439365456,0.000034364,"Bp                  ",,,,"43                                                                              "
14,9/28/2014 3:33:05,252,9/27/2014 20:33:05,11/19/2015 19:33:51,1,1.223999977,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,95.000000000,109.500000000,22.460937500,74.586440596,0.000010162,"Bp                  ",,,,"43                                                                              "
15,9/28/2014 3:33:41,117,9/27/2014 20:33:41,11/19/2015 19:34:56,0,1.223999977,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,71.000000000,84.500000000,20.507812500,77.242905936,0.000038943,"Bp                  ",,,,"44                                                                              "
16,9/28/2014 3:33:41,853,9/27/2014 20:33:41,11/19/2015 19:35:10,1,1.296000003,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,91.000000000,105.500000000,22.460937500,76.526296970,0.000006819,"Bp                  ",38.363147880,-127.923244323,"15                                                                              ","44                                                                              "
17,9/28/2014 3:34:14,486,9/27/2014 20:34:14,11/19/2015 19:35:34,0,1.024000048,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,270.000000000,283.500000000,20.507812500,66.855158464,0.000005412,"Bp                  ",,,,"45                                                                              "
18,9/28/2014 3:34:15,177,9/27/2014 20:34:15,11/19/2015 19:35:48,1,1.151979207,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,346.000000000,360.500000000,19.531250000,75.234806400,0.000003613,"Bp                  ",,,,"45                                                                              "
19,9/28/2014 3:34:26,274,9/27/2014 20:34:26,11/19/2015 19:36:15,0,6.504000186,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,57.000000000,70.500000000,43.945312500,86.370311202,0.000107452,"BmB                 ",,,,"46                                                                              "
20,9/28/2014 3:34:26,536,9/27/2014 20:34:26,11/19/2015 19:36:27,1,6.144000053,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,68.000000000,82.500000000,43.945312500,84.655930913,0.000060485,"BmB                 ",38.389670244,-127.872037489,"19                                                                              ","46                                                                              "
21,9/28/2014 3:35:14,441,9/27/2014 20:35:14,11/19/2015 19:37:12,0,9.468000411,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,56.000000000,69.500000000,43.945312500,85.864717622,0.000105756,"BmB                 ",,,,"47                                                                              "
22,9/28/2014 3:35:16,896,9/27/2014 20:35:16,11/19/2015 19:37:21,1,6.504000186,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,65.000000000,79.500000000,43.945312500,84.811421916,0.000060940,"BmB                 ",38.397763695,-127.850341274,"21                                                                              ","47                                                                              "
23,9/28/2014 3:35:28,292,9/27/2014 20:35:28,11/19/2015 19:37:57,0,1.024000048,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,270.000000000,283.500000000,21.484375000,72.982372685,0.000012312,"Bp                  ",,,,"48                                                                              "
24,9/28/2014 3:35:28,982,9/27/2014 20:35:28,11/19/2015 19:38:08,1,1.440000057,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,74.000000000,88.500000000,21.484375000,75.299056349,0.000008805,"Bp                  ",,,,"48                                                                              "
25,9/28/2014 3:36:03,497,9/27/2014 20:36:03,11/19/2015 19:38:12,0,1.440000057,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,80.000000000,93.500000000,22.460937500,73.776281926,0.000035996,"Bp                  ",,,,"49                                                                              "
26,9/28/2014 3:36:04,660,9/27/2014 20:36:04,11/19/2015 19:38:27,1,1.223999977,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,39.000000000,53.500000000,20.507812500,75.350914780,0.000003486,"Bp                  ",,,,"49                                                                              "
27,9/28/2014 3:35:58,278,9/27/2014 20:35:58,11/19/2015 19:38:51,0,8.456000328,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,57.000000000,70.500000000,43.945312500,84.044494436,0.000060512,"BmB                 ",,,,"50                                                                              "
28,9/28/2014 3:35:54,573,9/27/2014 20:35:54,11/19/2015 19:39:02,1,10.628000259,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,56.000000000,70.500000000,43.945312500,83.198732180,0.000035292,"BmB                 ",,,,"50                                                                              "
29,9/28/2014 3:36:37,720,9/27/2014 20:36:37,11/19/2015 19:39:27,0,1.151979207,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,89.000000000,102.500000000,20.507812500,77.277190353,0.000029943,"Bp                  ",,,,"51                                                                              "
30,9/28/2014 3:36:38,521,9/27/2014 20:36:38,11/19/2015 19:39:36,1,1.223999977,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,79.000000000,93.500000000,20.507812500,70.237622181,0.000002464,"Bp                  ",,,,"51                                                                              "
31,9/28/2014 3:37:12,551,9/27/2014 20:37:12,11/19/2015 19:40:31,0,1.296000003,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,117.000000000,130.500000000,20.507812500,79.330273959,0.000025369,"Bp                  ",,,,"52                                                                              "
32,9/28/2014 3:37:13,386,9/27/2014 20:37:13,11/19/2015 19:40:42,1,1.080000042,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,270.000000000,284.500000000,18.554687500,74.945625722,0.000002106,"Bp                  ",,,,"52                                                                              "
33,9/28/2014 3:37:15,245,9/27/2014 20:37:15,11/19/2015 19:40:46,0,1.024000048,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,270.000000000,283.500000000,21.484375000,68.711101505,0.000019846,"Bp                  ",,,,"53                                                                              "
34,9/28/2014 3:37:16,146,9/27/2014 20:37:16,11/19/2015 19:40:55,1,1.024000048,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,270.000000000,284.500000000,21.484375000,68.831198970,0.000002955,"Bp                  ",,,,"53                                                                              "
35,9/28/2014 3:37:11,583,9/27/2014 20:37:11,11/19/2015 19:41:24,0,8.963999748,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,69.000000000,82.500000000,43.945312500,84.456378563,0.000069052,"BmB                 ",,,,"54                                                                              "
36,9/28/2014 3:37:13,569,9/27/2014 20:37:13,11/19/2015 19:41:32,1,4.984000205,38.377550000,-127.989483333,"DIFAR Localisation                                                              ",14.500000000,67.000000000,81.500000000,43.945312500,86.051473490,0.000137109,"BmB                 ",,,,"54                                                                              "
37,9/28/2014 3:37:48,397,9/27/2014 20:37:48,11/19/2015 19:42:05,0,1.296000003,38.358550000,-127.984150000,"DIFAR Localisation                                                              ",13.500000000,110.000000000,123.500000000,22.460937500,73.836566937,0.000013194,"Bp                  ",,,,"55                                                                              "
