"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,8/10/2014 4:02:58,900,8/9/2014 21:02:58,2/24/2016 21:58:42,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,8/10/2014 4:03:41,699,8/9/2014 21:03:41,2/24/2016 22:01:11,0,"lots of fm sweeps                                                                                                                                                                                                                                              "
3,8/10/2014 4:04:08,400,8/9/2014 21:04:08,2/24/2016 22:02:57,0,"20-30 hz fin whale calls                                                                                                                                                                                                                                       "
4,8/10/2014 4:04:12,800,8/9/2014 21:04:12,2/24/2016 22:03:14,0,"possible 40 hz fin whale calls                                                                                                                                                                                                                                 "
5,8/10/2014 4:05:23,299,8/9/2014 21:05:23,2/24/2016 22:07:27,0,"it's clear in this recording tha the 20-30 Hz calls are the classic calls, but I can't select them because of the mix up with all the other data. Grrrrrrrrrrr                                                                                                 "
6,8/10/2014 4:06:00,200,8/9/2014 21:06:00,2/24/2016 22:08:40,0,"now most the fin whale pulses have moved to the 25 Hz as their lowest frequency                                                                                                                                                                                "
7,8/10/2014 4:06:06,0,8/9/2014 21:06:06,2/24/2016 22:08:52,0,"lots of fm sweeps everywhere                                                                                                                                                                                                                                   "
8,8/10/2014 4:24:30,200,8/9/2014 21:24:30,2/24/2016 22:45:22,0,"tons of 20-30 Hz fin whale calls. constant                                                                                                                                                                                                                     "
9,8/10/2014 4:24:44,0,8/9/2014 21:24:44,2/24/2016 22:45:50,0,"plus some higher freq ones sprinkled throughout                                                                                                                                                                                                                "
10,8/10/2014 4:36:31,0,8/9/2014 21:36:31,2/24/2016 23:09:55,0,"fm sweeps                                                                                                                                                                                                                                                      "
11,8/10/2014 4:39:44,700,8/9/2014 21:39:44,2/24/2016 23:13:37,2,"END EFFORT                                                                                                                                                                                                                                                     "
