"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,11/24/2014 1:35:31,400,11/23/2014 17:35:31,2/10/2016 19:40:40,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,11/24/2014 1:43:28,300,11/23/2014 17:43:28,2/10/2016 19:45:27,0,"faint 20-25 Hz fin whale like pulses                                                                                                                                                                                                                           "
3,11/24/2014 1:43:58,300,11/23/2014 17:43:58,2/10/2016 19:46:27,0,"Possible very faint blue whale b calls on channel 0 only                                                                                                                                                                                                       "
4,11/24/2014 2:02:46,0,11/23/2014 18:02:46,2/10/2016 20:05:59,0,"20-30 Hz fin whale calls                                                                                                                                                                                                                                       "
5,11/24/2014 2:08:42,0,11/23/2014 18:08:42,2/10/2016 20:11:53,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,11/24/2014 2:14:21,500,11/23/2014 18:14:21,2/10/2016 20:18:41,0,"fm sweeps                                                                                                                                                                                                                                                      "
7,11/24/2014 2:16:12,200,11/23/2014 18:16:12,2/10/2016 20:20:36,0,"fm sweeps                                                                                                                                                                                                                                                      "
8,11/24/2014 2:19:35,100,11/23/2014 18:19:35,2/10/2016 20:23:59,0,"fm sweeps                                                                                                                                                                                                                                                      "
9,11/24/2014 2:23:12,600,11/23/2014 18:23:12,2/10/2016 20:27:36,0,"fm sweeps                                                                                                                                                                                                                                                      "
10,11/24/2014 2:41:58,100,11/23/2014 18:41:58,2/10/2016 20:38:41,0,"fm sweeps                                                                                                                                                                                                                                                      "
11,11/24/2014 3:06:18,600,11/23/2014 19:06:18,2/10/2016 20:50:51,0,"fm sweeps                                                                                                                                                                                                                                                      "
12,11/24/2014 3:18:54,400,11/23/2014 19:18:54,2/10/2016 20:57:09,0,"both channels are fading and the ship is steaming away                                                                                                                                                                                                         "
13,11/24/2014 3:19:05,100,11/23/2014 19:19:05,2/10/2016 20:57:15,2,"END EFFORT                                                                                                                                                                                                                                                     "
