"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/28/2014 3:00:44,661,9/27/2014 20:00:44,11/18/2015 21:53:08,1,20.61,42.50,50.00,4.27,
2,9/28/2014 3:00:46,75,9/27/2014 20:00:46,11/18/2015 21:53:13,2,5.06,41.42,47.50,5.09,
3,9/28/2014 3:01:55,285,9/27/2014 20:01:55,11/18/2015 21:56:06,1,20.97,40.00,48.92,5.45,
4,9/28/2014 3:01:57,105,9/27/2014 20:01:57,11/18/2015 21:56:10,2,12.44,41.42,48.57,3.51,
5,9/28/2014 3:02:28,854,9/27/2014 20:02:28,11/18/2015 21:56:14,1,14.75,43.21,48.57,6.33,
6,9/28/2014 3:02:28,98,9/27/2014 20:02:28,11/18/2015 21:56:17,2,16.78,41.42,48.57,-1.28,
7,9/28/2014 3:03:07,345,9/27/2014 20:03:07,11/18/2015 21:57:08,1,1.22,15.08,22.97,1.17,
8,9/28/2014 3:03:08,675,9/27/2014 20:03:08,11/18/2015 21:57:10,2,0.94,15.94,21.25,2.74,
9,9/28/2014 3:03:59,16,9/27/2014 20:03:59,11/18/2015 21:58:15,1,12.87,42.50,48.92,2.27,
10,9/28/2014 3:04:03,290,9/27/2014 20:04:03,11/18/2015 21:58:18,2,3.83,43.57,48.92,3.38,
11,9/28/2014 3:04:42,185,9/27/2014 20:04:42,11/18/2015 21:59:23,1,23.50,40.71,48.21,0.12,
12,9/28/2014 3:04:58,417,9/27/2014 20:04:58,11/18/2015 21:59:29,2,17.86,39.64,48.21,5.06,
13,9/28/2014 3:07:19,290,9/27/2014 20:07:19,11/18/2015 22:01:55,1,1.01,16.28,23.65,-2.50,
14,9/28/2014 3:07:20,86,9/27/2014 20:07:20,11/18/2015 22:01:58,2,1.22,16.62,24.00,6.06,
15,9/28/2014 3:08:17,446,9/27/2014 20:08:17,11/18/2015 22:03:44,1,22.20,42.14,49.28,2.76,
16,9/28/2014 3:08:07,944,9/27/2014 20:08:07,11/18/2015 22:03:48,2,15.91,41.42,49.64,3.13,
17,9/28/2014 3:08:52,966,9/27/2014 20:08:52,11/18/2015 22:04:16,1,12.58,40.35,49.28,3.36,
18,9/28/2014 3:08:53,985,9/27/2014 20:08:53,11/18/2015 22:04:19,2,14.53,41.78,51.78,1.83,
19,9/28/2014 3:09:41,294,9/27/2014 20:09:41,11/18/2015 22:04:56,1,1.30,16.42,23.92,3.65,
20,9/28/2014 3:09:53,921,9/27/2014 20:09:53,11/18/2015 22:05:16,1,14.39,42.50,49.64,0.17,
21,9/28/2014 3:09:53,816,9/27/2014 20:09:53,11/18/2015 22:05:20,2,11.64,42.14,50.71,4.69,
22,9/28/2014 3:10:40,290,9/27/2014 20:10:40,11/18/2015 22:18:48,1,24.01,40.71,50.35,2.34,
23,9/28/2014 3:10:39,500,9/27/2014 20:10:39,11/18/2015 22:18:54,2,19.09,42.14,50.35,2.13,
24,9/28/2014 3:11:30,249,9/27/2014 20:11:30,11/18/2015 22:23:13,1,17.21,39.64,49.28,2.88,
25,9/28/2014 3:11:38,696,9/27/2014 20:11:38,11/18/2015 22:23:17,2,13.96,41.07,50.71,1.66,
26,9/28/2014 3:13:11,337,9/27/2014 20:13:11,11/18/2015 22:26:21,1,1.30,18.51,27.60,8.93,
27,9/28/2014 3:13:12,62,9/27/2014 20:13:12,11/18/2015 22:26:27,2,1.22,19.37,28.80,2.10,
28,9/28/2014 3:14:04,838,9/27/2014 20:14:04,11/18/2015 22:27:49,1,0.94,16.11,21.42,0.08,
29,9/28/2014 3:14:08,332,9/27/2014 20:14:08,11/18/2015 22:27:53,2,1.22,15.42,21.42,10.26,
30,9/28/2014 3:14:42,239,9/27/2014 20:14:42,11/18/2015 22:30:42,1,1.07,15.42,22.11,5.30,
31,9/28/2014 3:14:45,711,9/27/2014 20:14:45,11/18/2015 22:30:46,2,1.35,16.11,23.65,9.38,
32,9/28/2014 3:15:19,738,9/27/2014 20:15:19,11/18/2015 22:32:33,1,0.93,15.08,23.14,-0.72,
33,9/28/2014 3:15:23,85,9/27/2014 20:15:23,11/18/2015 22:32:37,2,1.28,15.42,23.31,3.82,
34,9/28/2014 3:16:32,365,9/27/2014 20:16:32,11/18/2015 22:35:21,1,1.57,16.28,24.68,2.75,
35,9/28/2014 3:16:33,641,9/27/2014 20:16:33,11/18/2015 22:35:25,2,1.28,14.91,23.48,4.28,
