"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,9/30/2014 2:41:53,318,9/29/2014 19:41:53,11/23/2015 19:22:13,1,11.79,41.00,49.60,2.19,
2,9/30/2014 2:41:50,297,9/29/2014 19:41:50,11/23/2015 19:22:17,2,12.36,41.66,48.94,-0.12,
3,9/30/2014 2:42:42,144,9/29/2014 19:42:42,11/23/2015 19:26:32,1,15.55,40.01,48.94,3.81,
4,9/30/2014 2:42:45,289,9/29/2014 19:42:45,11/23/2015 19:26:37,2,13.96,41.66,49.93,5.22,
5,9/30/2014 2:43:32,248,9/29/2014 19:43:32,11/23/2015 19:27:40,1,21.91,40.01,49.27,3.64,
6,9/30/2014 2:43:35,134,9/29/2014 19:43:35,11/23/2015 19:27:53,1,32.62,41.00,49.60,0.96,
7,9/30/2014 2:43:34,44,9/29/2014 19:43:34,11/23/2015 19:27:58,2,31.24,41.00,48.61,0.69,
8,9/30/2014 2:44:18,207,9/29/2014 19:44:18,11/23/2015 19:28:28,1,23.43,41.99,50.92,1.23,
9,9/30/2014 2:44:19,677,9/29/2014 19:44:19,11/23/2015 19:28:31,2,21.41,41.33,49.93,4.59,
10,9/30/2014 2:45:05,302,9/29/2014 19:45:05,11/23/2015 19:28:58,1,18.22,41.66,48.94,2.47,
11,9/30/2014 2:45:15,964,9/29/2014 19:45:15,11/23/2015 19:29:02,2,4.48,42.65,49.27,-3.74,
12,9/30/2014 2:46:00,838,9/29/2014 19:46:00,11/23/2015 19:33:31,1,13.67,42.32,47.94,6.03,
13,9/30/2014 2:46:03,125,9/29/2014 19:46:03,11/23/2015 19:33:35,2,8.46,42.32,48.94,-2.19,
14,9/30/2014 2:46:14,780,9/29/2014 19:46:14,11/23/2015 19:34:24,1,1.73,51.58,74.07,5.10,"noise                                             "
15,9/30/2014 2:46:23,833,9/29/2014 19:46:23,11/23/2015 19:34:31,1,1.88,54.56,75.39,3.94,"noise                                             "
16,9/30/2014 2:46:37,571,9/29/2014 19:46:37,11/23/2015 19:34:38,1,1.44,56.54,77.71,1.05,"noise                                             "
17,9/30/2014 2:46:42,357,9/29/2014 19:46:42,11/23/2015 19:34:46,1,1.01,56.54,79.36,5.26,"noise                                             "
18,9/30/2014 2:46:48,155,9/29/2014 19:46:48,11/23/2015 19:34:53,1,3.97,58.86,77.05,5.92,"noise                                             "
19,9/30/2014 2:46:55,811,9/29/2014 19:46:55,11/23/2015 19:35:11,1,0.79,47.94,58.20,-1.81,"noise                                             "
20,9/30/2014 2:46:58,282,9/29/2014 19:46:58,11/23/2015 19:35:18,1,1.44,46.95,64.15,6.25,"noise                                             "
21,9/30/2014 2:47:00,661,9/29/2014 19:47:00,11/23/2015 19:37:05,1,11.21,41.33,48.28,0.73,
22,9/30/2014 2:47:02,636,9/29/2014 19:47:02,11/23/2015 19:37:08,2,8.10,41.99,49.60,4.07,
23,9/30/2014 2:47:26,833,9/29/2014 19:47:26,11/23/2015 19:39:19,1,27.92,40.01,48.61,3.90,
24,9/30/2014 2:47:42,201,9/29/2014 19:47:42,11/23/2015 19:39:24,2,8.24,40.67,49.27,1.09,
25,9/30/2014 2:48:43,421,9/29/2014 19:48:43,11/23/2015 19:41:05,1,23.58,43.65,48.61,6.22,
26,9/30/2014 2:48:43,261,9/29/2014 19:48:43,11/23/2015 19:41:10,2,15.18,42.32,49.27,-2.36,
27,9/30/2014 2:49:30,63,9/29/2014 19:49:30,11/23/2015 19:41:57,1,1.59,16.50,25.23,7.38,
28,9/30/2014 2:49:30,119,9/29/2014 19:49:30,11/23/2015 19:42:02,2,1.37,19.04,26.98,4.52,
29,9/30/2014 2:49:42,317,9/29/2014 19:49:42,11/23/2015 19:42:31,1,7.59,41.66,49.60,2.41,
30,9/30/2014 2:49:43,175,9/29/2014 19:49:43,11/23/2015 19:42:39,2,3.47,41.66,47.94,3.24,
31,9/30/2014 2:50:09,878,9/29/2014 19:50:09,11/23/2015 19:43:12,1,4.70,43.32,61.83,13.40,"noise                                             "
32,9/30/2014 2:50:25,2,9/29/2014 19:50:25,11/23/2015 19:43:19,1,2.53,46.95,63.16,5.63,"noise                                             "
33,9/30/2014 2:50:28,46,9/29/2014 19:50:28,11/23/2015 19:44:18,1,14.68,42.32,48.94,-0.65,
34,9/30/2014 2:50:34,702,9/29/2014 19:50:34,11/23/2015 19:44:23,2,3.32,43.65,49.93,2.22,
35,9/30/2014 2:50:43,584,9/29/2014 19:50:43,11/23/2015 19:44:53,1,1.51,37.03,52.24,6.60,
36,9/30/2014 2:50:46,723,9/29/2014 19:50:46,11/23/2015 19:44:56,1,6.22,38.35,49.60,13.92,
37,9/30/2014 2:50:57,962,9/29/2014 19:50:57,11/23/2015 19:44:59,1,1.80,35.38,51.91,9.76,
38,9/30/2014 2:51:04,211,9/29/2014 19:51:04,11/23/2015 19:45:01,1,2.09,37.03,53.90,15.46,
39,9/30/2014 2:50:43,396,9/29/2014 19:50:43,11/23/2015 19:45:14,1,1.88,38.69,51.58,5.12,
40,9/30/2014 2:50:43,508,9/29/2014 19:50:43,11/23/2015 19:45:24,1,1.37,36.37,52.91,6.43,"noise                                             "
41,9/30/2014 2:50:46,674,9/29/2014 19:50:46,11/23/2015 19:45:30,1,5.71,36.70,50.59,14.98,"noise                                             "
42,9/30/2014 2:50:58,14,9/29/2014 19:50:58,11/23/2015 19:45:37,1,1.95,33.39,51.91,9.54,"noise                                             "
43,9/30/2014 2:51:04,146,9/29/2014 19:51:04,11/23/2015 19:45:44,1,2.16,35.05,52.24,14.15,"noise                                             "
44,9/30/2014 2:51:09,590,9/29/2014 19:51:09,11/23/2015 19:46:06,1,24.37,42.98,49.60,4.23,
45,9/30/2014 2:51:12,684,9/29/2014 19:51:12,11/23/2015 19:46:13,2,18.37,41.99,46.62,0.07,
46,9/30/2014 2:52:02,503,9/29/2014 19:52:02,11/23/2015 19:49:14,1,22.27,42.32,49.93,2.97,
47,9/30/2014 2:52:21,271,9/29/2014 19:52:21,11/23/2015 19:49:18,2,2.02,42.65,47.61,1.32,
48,9/30/2014 2:52:35,208,9/29/2014 19:52:35,11/23/2015 19:50:30,1,1.01,15.65,22.75,-2.25,
49,9/30/2014 3:03:54,275,9/29/2014 20:03:54,11/23/2015 19:54:18,1,19.52,42.32,49.93,1.82,
50,9/30/2014 3:03:56,579,9/29/2014 20:03:56,11/23/2015 19:54:22,2,14.82,42.32,48.61,1.92,
51,9/30/2014 3:04:46,722,9/29/2014 20:04:46,11/23/2015 19:56:02,1,19.96,42.32,50.26,2.18,
52,9/30/2014 3:04:48,725,9/29/2014 20:04:48,11/23/2015 19:56:07,2,9.40,41.66,48.61,3.15,
53,9/30/2014 3:05:53,518,9/29/2014 20:05:53,11/23/2015 19:57:42,1,15.18,41.33,49.60,2.00,
54,9/30/2014 3:05:53,613,9/29/2014 20:05:53,11/23/2015 19:57:46,2,16.41,42.65,48.94,1.57,
55,9/30/2014 3:06:47,445,9/29/2014 20:06:47,11/23/2015 19:59:12,1,14.75,41.33,50.59,6.01,
56,9/30/2014 3:06:52,47,9/29/2014 20:06:52,11/23/2015 19:59:16,2,6.58,41.66,48.94,-0.16,
57,9/30/2014 3:07:55,871,9/29/2014 20:07:55,11/23/2015 20:00:27,1,15.62,41.99,47.61,2.41,
58,9/30/2014 3:08:03,149,9/29/2014 20:08:03,11/23/2015 20:00:31,2,17.72,40.67,48.61,2.50,
59,9/30/2014 3:09:02,468,9/29/2014 20:09:02,11/23/2015 20:01:25,1,19.02,41.00,49.27,3.27,
60,9/30/2014 3:09:06,41,9/29/2014 20:09:06,11/23/2015 20:01:29,2,16.49,41.00,47.94,6.68,
