"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channel","ClipLength","BuoyLatitude","BuoyLongitude","TriggerName","BuoyHeading","DIFARBearing","TrueBearing","DifarFrequency","SignalAmplitude","DifarGain","Species","Latitude","Longitude","MatchedAngles","TrackedGroup"
1,10/23/2014 1:55:00,900,10/22/2014 18:55:00,1/6/2016 21:53:55,0,9.999500274,33.072100000,-118.057400000,,,312.000000000,,449.218750000,85.835477256,0.002670772,"Vessel              ",,,,"No group                                                                        "
2,10/23/2014 1:55:11,0,10/22/2014 18:55:11,1/6/2016 21:54:11,0,9.999500274,33.072100000,-118.057400000,,,309.000000000,,449.218750000,86.824169477,0.003573343,"Vessel              ",,,,"No group                                                                        "
3,10/23/2014 1:55:21,0,10/22/2014 18:55:21,1/6/2016 21:54:15,0,9.999500274,33.072100000,-118.057400000,,,310.000000000,,449.218750000,87.653896811,0.003811986,"Vessel              ",,,,"No group                                                                        "
4,10/23/2014 2:02:35,700,10/22/2014 19:02:35,1/6/2016 21:56:18,1,9.999500274,33.081066666,-118.074483333,,,294.000000000,,597.656250000,86.383008778,0.002405037,"Vessel              ",,,,"No group                                                                        "
5,10/23/2014 2:02:45,700,10/22/2014 19:02:45,1/6/2016 21:56:28,1,9.999500274,33.081066666,-118.074483333,,,289.000000000,,582.031250000,86.572731673,0.002067080,"Vessel              ",,,,"No group                                                                        "
6,10/23/2014 2:02:55,700,10/22/2014 19:02:55,1/6/2016 21:56:38,1,9.999500274,33.081066666,-118.074483333,,,281.000000000,,371.093750000,87.313148109,0.001711185,"Vessel              ",,,,"No group                                                                        "
7,10/23/2014 2:03:05,700,10/22/2014 19:03:05,1/6/2016 21:56:51,1,9.999500274,33.081066666,-118.074483333,,,288.000000000,,449.218750000,87.881278286,0.003661300,"Vessel              ",,,,"No group                                                                        "
8,10/23/2014 2:03:15,700,10/22/2014 19:03:15,1/6/2016 21:57:00,1,9.999500274,33.081066666,-118.074483333,,,287.000000000,,445.312500000,87.965582651,0.003571537,"Vessel              ",,,,"No group                                                                        "
9,10/23/2014 2:03:25,700,10/22/2014 19:03:25,1/6/2016 21:57:09,1,9.999500274,33.081066666,-118.074483333,,,286.000000000,,437.500000000,87.673029085,0.002240005,"Vessel              ",,,,"No group                                                                        "
10,10/23/2014 2:03:35,700,10/22/2014 19:03:35,1/6/2016 21:57:20,1,9.999500274,33.081066666,-118.074483333,,,286.000000000,,449.218750000,87.575026698,0.003617339,"Vessel              ",,,,"No group                                                                        "
