"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channel","ClipLength","BuoyLatitude","BuoyLongitude","TriggerName","BuoyHeading","DIFARBearing","TrueBearing","DifarFrequency","SignalAmplitude","DifarGain","Species","Latitude","Longitude","MatchedAngles","TrackedGroup"
1,9/7/2014 3:29:58,200,9/6/2014 20:29:58,10/26/2015 17:29:07,0,9.999500274,-35.469133333,-122.058266666,,,162.000000000,,437.500000000,87.383592494,0.005554064,"Vessel              ",,,,"No group                                                                        "
2,9/7/2014 3:30:08,300,9/6/2014 20:30:08,10/26/2015 17:29:31,0,9.999500274,41.672033333,-129.105500000,,,171.000000000,,433.593750000,86.623442360,0.005410708,"Vessel              ",,,,"No group                                                                        "
3,9/7/2014 3:30:21,700,9/6/2014 20:30:21,10/26/2015 17:29:34,0,9.999500274,41.672033333,-129.105500000,,,168.000000000,,433.593750000,84.012663757,0.002122338,"Vessel              ",,,,"No group                                                                        "
4,9/7/2014 3:30:31,800,9/6/2014 20:30:31,10/26/2015 17:29:40,0,9.999500274,41.672033333,-129.105500000,,,170.000000000,,437.500000000,83.525762294,0.001489069,"Vessel              ",,,,"No group                                                                        "
5,9/7/2014 3:30:41,800,9/6/2014 20:30:41,10/26/2015 17:29:48,0,9.999500274,41.672033333,-129.105500000,,,170.000000000,,433.593750000,82.661775872,0.000964731,"Vessel              ",,,,"No group                                                                        "
6,9/7/2014 3:30:51,800,9/6/2014 20:30:51,10/26/2015 17:29:58,0,9.999500274,41.672033333,-129.105500000,,,170.000000000,,433.593750000,82.418418264,0.000862673,"Vessel              ",,,,"No group                                                                        "
7,9/7/2014 3:31:01,800,9/6/2014 20:31:01,10/26/2015 17:30:09,0,9.999500274,41.672033333,-129.105500000,,,171.000000000,,398.437500000,81.732891934,0.000690186,"Vessel              ",,,,"No group                                                                        "
8,9/7/2014 3:36:01,500,9/6/2014 20:36:01,10/26/2015 17:31:10,1,9.999500274,41.655650000,-129.105616666,,,150.000000000,,394.531250000,89.555282171,0.005458500,"Vessel              ",,,,"No group                                                                        "
9,9/7/2014 3:36:11,600,9/6/2014 20:36:11,10/26/2015 17:31:19,1,9.999500274,41.655650000,-129.105616666,,,149.000000000,,449.218750000,89.107952753,0.006752518,"Vessel              ",,,,"No group                                                                        "
10,9/7/2014 3:36:21,600,9/6/2014 20:36:21,10/26/2015 17:31:27,1,9.999500274,41.655650000,-129.105616666,,,153.000000000,,363.281250000,88.859010110,0.006448283,"Vessel              ",,,,"No group                                                                        "
11,9/7/2014 3:36:31,600,9/6/2014 20:36:31,10/26/2015 17:31:38,1,9.999500274,41.655650000,-129.105616666,,,148.000000000,,382.812500000,88.599047901,0.007297397,"Vessel              ",,,,"No group                                                                        "
12,9/7/2014 3:36:51,600,9/6/2014 20:36:51,10/26/2015 17:32:00,1,9.999500274,41.655650000,-129.105616666,,,136.000000000,,410.156250000,88.123541450,0.006464927,"Vessel              ",,,,"No group                                                                        "
13,9/7/2014 3:37:01,600,9/6/2014 20:37:01,10/26/2015 17:32:10,1,9.999500274,41.655650000,-129.105616666,,,129.000000000,,515.625000000,88.091108880,0.005615525,"Vessel              ",,,,"No group                                                                        "
14,9/7/2014 3:38:07,867,9/6/2014 20:38:07,10/26/2015 17:34:11,0,12.000000000,41.672033333,-129.105500000,"DIFAR Localisation                                                              ",11.500000000,87.000000000,98.500000000,43.945312500,90.134194883,0.000418291,"BmB                 ",,,,"1                                                                               "
15,9/7/2014 3:38:07,885,9/6/2014 20:38:07,10/26/2015 17:34:25,1,9.760000228,41.655650000,-129.105616666,"DIFAR Localisation                                                              ",13.500000000,82.000000000,95.500000000,43.945312500,86.768819539,0.000161148,"BmB                 ",41.625952256,-128.692914262,"14                                                                              ","1                                                                               "
16,9/7/2014 3:38:50,229,9/6/2014 20:38:50,10/26/2015 17:35:01,0,9.539999961,41.672033333,-129.105500000,"DIFAR Localisation                                                              ",11.500000000,90.000000000,101.500000000,45.898437500,90.667340000,0.000486876,"BmB                 ",,,,"2                                                                               "
