"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/27/2014 2:39:33,600,9/26/2014 19:39:33,11/17/2015 18:40:08,1,"Calibration Note: calibration was done prior to this due to a skip in the recordings that caused a loss in the calibration data                                                                                                                                "
2,9/27/2014 2:39:35,300,9/26/2014 19:39:35,11/17/2015 18:40:36,0,"Calibration: CH0 = 7.5; CH1 = 11.5                                                                                                                                                                                                                             "
3,9/27/2014 2:44:42,300,9/26/2014 19:44:42,11/17/2015 18:41:37,0,"START EFFORT                                                                                                                                                                                                                                                   "
4,9/27/2014 2:45:03,800,9/26/2014 19:45:03,11/17/2015 18:44:28,0,"fm sweeps between 82 down to 36 Hz                                                                                                                                                                                                                             "
5,9/27/2014 2:48:17,200,9/26/2014 19:48:17,11/17/2015 18:59:14,0,"fm sweeps                                                                                                                                                                                                                                                      "
6,9/27/2014 2:52:15,99,9/26/2014 19:52:15,11/17/2015 19:12:15,0,"fm sweeps                                                                                                                                                                                                                                                      "
7,9/27/2014 3:03:20,0,9/26/2014 20:03:20,11/17/2015 19:50:59,0,"all kinds of fm sweeps have been continuous                                                                                                                                                                                                                    "
8,9/27/2014 3:03:24,800,9/26/2014 20:03:24,11/17/2015 19:51:19,0,"also there have been lots of 20-30 Hz possible fin whale calls                                                                                                                                                                                                 "
9,9/27/2014 3:22:03,500,9/26/2014 20:22:03,11/17/2015 21:05:00,0,"more fm sweeps, they never really stopped                                                                                                                                                                                                                      "
10,9/27/2014 3:36:23,399,9/26/2014 20:36:23,11/17/2015 22:00:50,0,"Blue whale B call at 45Hz has been continuous through the entire recording so far                                                                                                                                                                              "
11,9/27/2014 4:01:39,0,9/26/2014 21:01:39,11/17/2015 23:34:51,2,"END EFFORT                                                                                                                                                                                                                                                     "
