"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","UpdateOf","Comment"
1,9/30/2014 2:40:52,300,9/29/2014 19:40:52,11/23/2015 19:18:05,1,"START EFFORT                                                                                                                                                                                                                                                   "
2,9/30/2014 2:40:56,700,9/29/2014 19:40:56,11/23/2015 19:19:15,0,"Calibration note: Ch 1 was calibrated in a previous file to 13.5 degrees and need to be added to this file                                                                                                                                                     "
3,9/30/2014 2:40:58,100,9/29/2014 19:40:58,11/23/2015 19:19:38,0,"Channel 0 is 18.5 degrees                                                                                                                                                                                                                                      "
4,9/30/2014 2:42:48,400,9/29/2014 19:42:48,11/23/2015 19:25:20,0,"20-30 Hz possible fin whale calls                                                                                                                                                                                                                              "
5,9/30/2014 2:43:13,0,9/29/2014 19:43:13,11/23/2015 19:26:10,0,"Don't trust crossed of localization in this file because only ch0 calibration went in during analysis                                                                                                                                                          "
6,9/30/2014 2:47:35,700,9/29/2014 19:47:35,11/23/2015 19:38:17,0,"steady 20-30Hz calls                                                                                                                                                                                                                                           "
7,9/30/2014 2:49:07,799,9/29/2014 19:49:07,11/23/2015 19:40:50,0,"possible 40 hz fin whale calls                                                                                                                                                                                                                                 "
8,9/30/2014 2:52:22,0,9/29/2014 19:52:22,11/23/2015 19:48:42,0,"loosing signal on ch1                                                                                                                                                                                                                                          "
9,9/30/2014 2:53:37,400,9/29/2014 19:53:37,11/23/2015 19:51:03,2,"END EFFORT                                                                                                                                                                                                                                                     "
10,9/30/2014 2:53:49,400,9/29/2014 19:53:49,11/23/2015 19:51:27,0,"going to fastforward to see if the signal will return on ch1                                                                                                                                                                                                   "
11,9/30/2014 3:03:54,200,9/29/2014 20:03:54,11/23/2015 19:52:26,1,"START EFFORT                                                                                                                                                                                                                                                   "
12,9/30/2014 3:03:57,800,9/29/2014 20:03:57,11/23/2015 19:52:54,0,"Ship turned back towards the buoys and signal has returned to ch 1                                                                                                                                                                                             "
13,9/30/2014 3:17:51,700,9/29/2014 20:17:51,11/23/2015 20:47:54,0,"4-15Hz sweeps (just 2 but they were strong)                                                                                                                                                                                                                    "
14,9/30/2014 3:18:17,500,9/29/2014 20:18:17,11/23/2015 20:49:37,0,"fm sweeps                                                                                                                                                                                                                                                      "
15,9/30/2014 3:33:37,500,9/29/2014 20:33:37,11/23/2015 21:21:11,0,"A hickup happened when the files swtiched and selection boxes can not longer be done                                                                                                                                                                           "
16,9/30/2014 3:33:43,100,9/29/2014 20:32:50,11/23/2015 21:21:34,2,"END EFFORT                                                                                                                                                                                                                                                     "
17,9/30/2014 3:34:42,900,9/29/2014 20:34:42,11/23/2015 21:23:31,0,"change end effort to 3:32:50    (DONE)                                                                                                                                                                                                                         "
18,9/30/2014 3:34:46,300,9/29/2014 20:34:46,11/23/2015 21:23:48,1,"START EFFORT                                                                                                                                                                                                                                                   "
19,9/30/2014 3:35:15,600,9/29/2014 20:35:15,11/23/2015 21:24:21,0,"difar selection is back to working                                                                                                                                                                                                                             "
20,9/30/2014 3:35:37,400,9/29/2014 20:35:37,11/23/2015 21:25:33,0,"Note: calibration is no longer applied to both channels and will need to be added in post.                                                                                                                                                                     "
21,9/30/2014 3:36:55,600,9/29/2014 20:36:55,11/23/2015 21:30:45,0,"40 Hz calls                                                                                                                                                                                                                                                    "
22,9/30/2014 3:51:13,800,9/29/2014 20:51:13,11/23/2015 21:53:34,0,"fm sweep                                                                                                                                                                                                                                                       "
23,9/30/2014 3:56:44,800,9/29/2014 20:56:44,11/23/2015 21:59:20,0,"fm sweeps                                                                                                                                                                                                                                                      "
24,9/30/2014 4:08:10,300,9/29/2014 21:08:10,11/23/2015 22:25:28,0,"lots of 20-30Hz calls and 20-25Hz nuggets                                                                                                                                                                                                                      "
25,9/30/2014 4:17:46,300,9/29/2014 21:17:46,11/23/2015 22:36:50,0,"possible Be6 calls                                                                                                                                                                                                                                             "
26,9/30/2014 4:18:04,0,9/29/2014 21:18:04,11/23/2015 22:37:08,0,"Bryde's whale                                                                                                                                                                                                                                                  "
27,9/30/2014 4:40:53,900,9/29/2014 21:40:53,11/23/2015 23:03:44,2,"END EFFORT                                                                                                                                                                                                                                                     "
