"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,11/13/2014 3:01:59,113,11/12/2014 19:01:59,2/2/2016 20:43:36,1,1.66,15.35,25.05,11.68,
2,11/13/2014 3:01:58,557,11/12/2014 19:01:58,2/2/2016 20:43:41,2,1.44,14.64,24.70,13.52,
3,11/13/2014 3:02:04,668,11/12/2014 19:02:04,2/2/2016 20:44:52,1,5.85,40.07,48.52,4.45,
4,11/13/2014 3:02:04,229,11/12/2014 19:02:04,2/2/2016 20:44:54,2,6.65,40.44,47.79,5.72,
5,11/13/2014 3:02:23,90,11/12/2014 19:02:23,2/2/2016 20:45:16,1,9.18,41.17,49.26,8.04,
6,11/13/2014 3:02:20,365,11/12/2014 19:02:20,2/2/2016 20:45:19,2,8.96,41.54,49.26,2.89,
7,11/13/2014 3:02:35,299,11/12/2014 19:02:35,2/2/2016 20:45:22,1,18.87,37.86,48.52,3.04,
8,11/13/2014 3:02:34,393,11/12/2014 19:02:34,2/2/2016 20:45:26,2,17.86,38.97,49.26,1.85,
9,11/13/2014 3:02:57,707,11/12/2014 19:02:57,2/2/2016 20:45:31,1,4.12,39.33,47.79,4.78,
10,11/13/2014 3:02:55,960,11/12/2014 19:02:55,2/2/2016 20:45:33,2,5.93,40.07,48.89,2.95,
11,11/13/2014 3:02:34,362,11/12/2014 19:02:34,2/2/2016 20:45:59,1,9.69,41.17,49.63,3.40,
12,11/13/2014 3:02:31,808,11/12/2014 19:02:31,2/2/2016 20:46:03,2,7.59,40.07,50.00,4.47,
13,11/13/2014 3:02:49,535,11/12/2014 19:02:49,2/2/2016 20:46:06,1,12.44,38.60,47.05,4.30,
14,11/13/2014 3:02:47,677,11/12/2014 19:02:47,2/2/2016 20:46:09,2,13.16,40.80,48.16,8.29,
15,11/13/2014 3:02:40,705,11/12/2014 19:02:40,2/2/2016 20:46:13,1,1.51,14.70,25.36,13.46,
16,11/13/2014 3:02:40,149,11/12/2014 19:02:40,2/2/2016 20:46:16,2,1.59,14.33,26.10,20.55,
17,11/13/2014 3:03:22,538,11/12/2014 19:03:22,2/2/2016 20:47:37,1,1.37,14.70,24.26,16.27,
18,11/13/2014 3:03:21,948,11/12/2014 19:03:21,2/2/2016 20:47:40,2,1.51,15.07,23.89,19.61,
19,11/13/2014 3:03:27,820,11/12/2014 19:03:27,2/2/2016 20:48:16,1,6.79,40.44,48.52,11.32,
