"Id","UTC","UTCMilliseconds","PCLocalTime","PCTime","Channels","Duration","f1","f2","snr","notes"
1,12/1/2014 1:10:47,868,11/30/2014 17:10:47,2/17/2016 21:57:51,1,21.04,40.56,50.51,3.40,
2,12/1/2014 1:10:47,420,11/30/2014 17:10:47,2/17/2016 21:57:58,2,16.49,45.72,52.35,-0.39,
3,12/1/2014 1:11:44,388,11/30/2014 17:11:44,2/17/2016 21:58:54,1,21.41,39.82,47.93,-0.21,
4,12/1/2014 1:12:35,960,11/30/2014 17:12:35,2/17/2016 21:59:30,1,20.83,40.19,48.67,5.48,
5,12/1/2014 1:13:24,853,11/30/2014 17:13:24,2/17/2016 22:00:04,1,13.81,41.29,48.30,1.82,
6,12/1/2014 1:14:26,208,11/30/2014 17:14:26,2/17/2016 22:00:27,1,10.27,40.56,50.88,6.51,
7,12/1/2014 1:14:29,849,11/30/2014 17:14:29,2/17/2016 22:00:32,2,7.73,40.19,47.93,2.29,
8,12/1/2014 1:15:21,297,11/30/2014 17:15:21,2/17/2016 22:01:18,1,18.66,43.14,50.14,4.44,
9,12/1/2014 1:18:07,29,11/30/2014 17:18:07,2/17/2016 22:02:30,1,11.13,40.56,50.88,5.05,
10,12/1/2014 1:18:09,6,11/30/2014 17:18:09,2/17/2016 22:02:34,2,9.18,40.19,50.14,2.26,
11,12/1/2014 1:18:52,807,11/30/2014 17:18:52,2/17/2016 22:03:07,1,7.45,41.66,49.04,3.21,
12,12/1/2014 1:18:55,790,11/30/2014 17:18:55,2/17/2016 22:03:09,2,6.58,40.92,46.82,1.51,
13,12/1/2014 1:20:20,10,11/30/2014 17:20:20,2/17/2016 22:04:42,1,14.53,41.29,50.88,4.34,
14,12/1/2014 1:20:21,374,11/30/2014 17:20:21,2/17/2016 22:04:45,2,14.90,41.29,47.56,2.00,
15,12/1/2014 1:21:09,964,11/30/2014 17:21:09,2/17/2016 22:05:32,1,7.95,42.03,49.41,6.68,
16,12/1/2014 1:21:11,684,11/30/2014 17:21:11,2/17/2016 22:05:35,2,11.28,43.51,50.51,6.60,
17,12/1/2014 1:22:31,845,11/30/2014 17:22:31,2/17/2016 22:06:52,1,17.86,41.66,48.67,7.37,
18,12/1/2014 1:23:07,615,11/30/2014 17:23:07,2/17/2016 22:14:22,1,20.10,40.92,49.41,4.53,
19,12/1/2014 1:23:07,960,11/30/2014 17:23:07,2/17/2016 22:14:25,2,16.27,39.08,51.25,0.16,
20,12/1/2014 1:24:47,878,11/30/2014 17:24:47,2/17/2016 22:15:51,1,9.98,41.29,50.14,7.61,
21,12/1/2014 1:25:21,944,11/30/2014 17:25:21,2/17/2016 22:16:00,1,7.73,44.24,50.14,9.33,
22,12/1/2014 1:25:42,636,11/30/2014 17:25:42,2/17/2016 22:16:24,1,13.88,39.82,49.77,1.69,
23,12/1/2014 1:25:52,363,11/30/2014 17:25:52,2/17/2016 22:16:27,2,5.85,40.56,46.46,4.12,
24,12/1/2014 1:26:30,665,11/30/2014 17:26:30,2/17/2016 22:17:19,1,12.51,44.61,50.51,6.67,
25,12/1/2014 1:26:33,549,11/30/2014 17:26:33,2/17/2016 22:17:22,2,18.95,45.35,49.77,8.12,
26,12/1/2014 1:27:25,221,11/30/2014 17:27:25,2/17/2016 22:18:11,1,15.62,42.77,49.41,10.24,
27,12/1/2014 1:27:25,267,11/30/2014 17:27:25,2/17/2016 22:18:15,2,13.74,41.66,50.14,4.29,
28,12/1/2014 1:30:15,783,11/30/2014 17:30:15,2/17/2016 22:20:42,1,12.51,41.66,51.25,2.94,
29,12/1/2014 1:30:16,820,11/30/2014 17:30:16,2/17/2016 22:20:45,2,13.45,43.14,50.88,7.03,
30,12/1/2014 1:33:05,599,11/30/2014 17:33:05,2/17/2016 22:22:16,1,9.54,41.66,50.88,8.43,
31,12/1/2014 1:34:04,822,11/30/2014 17:34:04,2/17/2016 22:22:42,1,9.47,40.19,49.41,10.85,
32,12/1/2014 1:36:15,196,11/30/2014 17:36:15,2/17/2016 22:23:39,1,8.53,40.92,50.88,1.43,
33,12/1/2014 1:36:15,208,11/30/2014 17:36:15,2/17/2016 22:23:42,2,7.95,40.19,50.14,3.81,
34,12/1/2014 1:38:46,171,11/30/2014 17:38:46,2/17/2016 22:24:59,1,19.67,42.03,51.25,4.76,
35,12/1/2014 1:38:49,839,11/30/2014 17:38:49,2/17/2016 22:25:02,2,14.10,43.51,50.51,7.44,
36,12/1/2014 1:40:51,895,11/30/2014 17:40:51,2/17/2016 22:26:01,1,16.99,40.92,50.14,1.93,
37,12/1/2014 1:40:56,470,11/30/2014 17:40:56,2/17/2016 22:26:04,2,13.67,40.19,51.25,3.87,
38,12/1/2014 1:41:43,526,11/30/2014 17:41:43,2/17/2016 22:26:32,1,16.92,39.08,49.41,2.54,
39,12/1/2014 1:41:47,328,11/30/2014 17:41:47,2/17/2016 22:26:37,2,16.20,40.19,46.46,2.09,
40,12/1/2014 1:42:32,462,11/30/2014 17:42:32,2/17/2016 22:27:19,1,14.68,40.92,50.88,5.26,
41,12/1/2014 1:43:27,977,11/30/2014 17:43:27,2/17/2016 22:28:02,1,12.73,40.19,49.77,4.55,
42,12/1/2014 1:44:41,554,11/30/2014 17:44:41,2/17/2016 22:29:12,1,11.57,40.92,50.51,5.45,
43,12/1/2014 1:45:41,868,11/30/2014 17:45:41,2/17/2016 22:30:25,1,16.41,39.82,50.14,0.01,
44,12/1/2014 1:46:50,405,11/30/2014 17:46:50,2/17/2016 22:31:15,1,12.87,43.14,50.51,0.04,
45,12/1/2014 1:47:17,354,11/30/2014 17:47:17,2/17/2016 22:31:45,1,18.22,44.61,51.25,2.79,
46,12/1/2014 1:54:57,783,11/30/2014 17:54:57,2/17/2016 22:36:06,1,23.79,42.03,50.88,5.12,
47,12/1/2014 1:55:46,163,11/30/2014 17:55:46,2/17/2016 22:36:10,1,10.99,41.29,49.77,8.65,
48,12/1/2014 1:55:52,974,11/30/2014 17:55:52,2/17/2016 22:36:18,2,4.12,43.51,49.77,6.91,
49,12/1/2014 1:56:36,936,11/30/2014 17:56:36,2/17/2016 22:37:11,1,18.30,44.98,48.67,3.05,
50,12/1/2014 1:56:38,318,11/30/2014 17:56:38,2/17/2016 22:37:15,1,17.93,41.66,50.88,1.38,
51,12/1/2014 1:56:40,295,11/30/2014 17:56:40,2/17/2016 22:37:18,2,12.94,44.61,50.14,6.07,
52,12/1/2014 1:57:37,762,11/30/2014 17:57:37,2/17/2016 22:37:53,1,12.51,42.40,50.14,7.12,
53,12/1/2014 1:58:57,629,11/30/2014 17:58:57,2/17/2016 22:39:19,1,14.39,40.92,49.04,2.04,
54,12/1/2014 2:18:31,803,11/30/2014 18:18:31,2/17/2016 22:53:11,1,21.98,40.92,50.14,3.98,
55,12/1/2014 2:22:18,883,11/30/2014 18:22:18,2/17/2016 22:54:58,1,14.53,40.19,50.88,7.26,
56,12/1/2014 2:24:27,96,11/30/2014 18:24:27,2/17/2016 22:56:04,1,16.13,40.92,50.51,3.55,
57,12/1/2014 2:24:25,834,11/30/2014 18:24:25,2/17/2016 22:56:07,2,14.24,40.92,49.41,4.16,
58,12/1/2014 2:28:23,733,11/30/2014 18:28:23,2/17/2016 22:58:42,1,14.39,40.56,50.51,2.84,
59,12/1/2014 2:30:32,343,11/30/2014 18:30:32,2/17/2016 22:59:52,1,16.13,40.92,50.51,5.43,
60,12/1/2014 2:30:33,780,11/30/2014 18:30:33,2/17/2016 22:59:56,2,15.11,40.92,49.41,-0.48,
61,12/1/2014 2:33:25,305,11/30/2014 18:33:25,2/17/2016 23:13:31,1,1.95,31.71,49.41,17.52,"noise                                             "
62,12/1/2014 2:34:48,413,11/30/2014 18:34:48,2/17/2016 23:22:26,1,16.56,40.92,50.14,2.43,
63,12/1/2014 2:34:47,435,11/30/2014 18:34:47,2/17/2016 23:22:29,2,8.67,39.82,51.25,6.74,
64,12/1/2014 2:37:38,678,11/30/2014 18:37:38,2/17/2016 23:23:57,1,13.67,41.29,51.62,2.85,
65,12/1/2014 2:38:16,4,11/30/2014 18:38:16,2/17/2016 23:24:15,1,18.37,40.92,50.14,3.18,
66,12/1/2014 2:38:16,78,11/30/2014 18:38:16,2/17/2016 23:24:17,2,16.63,42.77,50.51,5.87,
67,12/1/2014 2:39:32,84,11/30/2014 18:39:32,2/17/2016 23:24:47,1,17.86,39.45,50.88,5.11,
68,12/1/2014 2:39:31,217,11/30/2014 18:39:31,2/17/2016 23:24:50,2,18.95,39.08,51.25,0.44,
69,12/1/2014 2:40:40,134,11/30/2014 18:40:40,2/17/2016 23:25:18,1,11.13,42.77,50.14,4.35,
70,12/1/2014 2:40:39,151,11/30/2014 18:40:39,2/17/2016 23:25:21,2,17.50,41.66,50.88,5.79,
71,12/1/2014 2:42:53,922,11/30/2014 18:42:53,2/17/2016 23:26:38,2,8.60,43.14,50.88,5.32,
72,12/1/2014 2:45:03,385,11/30/2014 18:45:03,2/17/2016 23:27:28,1,16.63,40.56,51.62,3.17,
73,12/1/2014 2:45:03,220,11/30/2014 18:45:03,2/17/2016 23:27:30,2,15.69,40.19,49.41,4.30,
74,12/1/2014 2:48:48,766,11/30/2014 18:48:48,2/17/2016 23:29:22,1,14.75,42.40,50.51,3.79,
75,12/1/2014 2:48:47,855,11/30/2014 18:48:47,2/17/2016 23:29:25,2,14.82,42.77,50.14,4.34,
76,12/1/2014 3:01:44,125,11/30/2014 19:01:44,2/17/2016 23:35:53,1,13.81,41.66,50.88,4.07,
77,12/1/2014 3:09:01,592,11/30/2014 19:09:01,2/17/2016 23:39:27,2,1.44,90.33,102.50,12.56,"noise                                             "
78,12/1/2014 3:09:07,669,11/30/2014 19:09:07,2/17/2016 23:39:34,1,1.80,37.97,53.83,14.96,"noise                                             "
79,12/1/2014 3:09:28,815,11/30/2014 19:09:28,2/17/2016 23:39:45,1,3.11,26.17,42.77,18.19,"noise                                             "
